0,1,2,3,4,5,6
AAPL,2021-03-24,122.82,120.09,120.065,122.9,88525685.0
AAPL,2021-03-25,119.54,120.59,119,121.66,98809281.0
AAPL,2021-03-26,120.35,121.21,118.92,121.48,94071234.0
AAPL,2021-03-29,121.65,121.39,120.7299,122.58,80819203.0
AAPL,2021-03-30,120.11,119.9,118.86,120.4031,84507919.0
AAPL,2021-03-31,121.65,122.15,121.15,123.52,118323826.0
AAPL,2021-04-01,123.66,123,122.49,124.18,75089134.0
AAPL,2021-04-05,123.87,125.9,123.07,126.1601,88251175.0
AAPL,2021-04-06,126.5,126.21,125.65,127.13,80171253.0
AAPL,2021-04-07,125.83,127.9,125.14,127.92,83256716.0
AAPL,2021-04-08,128.95,130.36,128.52,130.39,88844591.0
AAPL,2021-04-09,129.8,132.995,129.47,133.04,106615653.0
AAPL,2021-04-12,132.52,131.24,130.63,132.85,91388983.0
AAPL,2021-04-13,132.44,134.43,131.93,134.66,90761995.0
AAPL,2021-04-14,134.94,132.03,131.655,135,86222782.0
AAPL,2021-04-15,133.82,134.5,133.64,135,89347102.0
AAPL,2021-04-16,134.3,134.16,133.28,134.67,84360386.0
AAPL,2021-04-19,133.51,134.84,133.34,135.47,94264215.0
AAPL,2021-04-20,135.02,133.11,131.81,135.53,94812249.0
AAPL,2021-04-21,132.36,133.5,131.3001,133.75,68826135.0
AAPL,2021-04-22,133.04,131.94,131.41,134.15,84566456.0
AAPL,2021-04-23,132.16,134.32,132.16,135.12,78666779.0
AAPL,2021-04-26,134.83,134.72,133.56,135.06,66888509.0
AAPL,2021-04-27,135.01,134.39,134.11,135.41,66015804.0
AAPL,2021-04-28,134.31,133.58,133.08,135.02,107746597.0
AAPL,2021-04-29,136.47,133.48,132.45,137.07,151100953.0
AAPL,2021-04-30,131.78,131.46,131.065,133.56,109425466.0
AAPL,2021-05-03,132.04,132.54,131.83,134.07,75135100.0
AAPL,2021-05-04,131.19,127.85,126.7,131.4899,137544918.0
AAPL,2021-05-05,129.2,128.1,127.97,130.45,84000900.0
AAPL,2021-05-06,127.89,129.74,127.13,129.75,78064334.0
AAPL,2021-05-07,130.85,130.21,129.475,131.2582,77691273.0
AAPL,2021-05-10,129.41,126.85,126.81,129.54,88071229.0
AAPL,2021-05-11,123.5,125.91,122.77,126.27,126142826.0
AAPL,2021-05-12,123.4,122.77,122.25,124.64,112172282.0
AAPL,2021-05-13,124.58,124.97,124.26,126.15,105850339.0
AAPL,2021-05-14,126.25,127.45,125.85,127.89,81872951.0
AAPL,2021-05-17,126.82,126.27,125.17,126.93,74216624.0
AAPL,2021-05-18,126.56,124.85,124.78,126.99,63342929.0
AAPL,2021-05-19,123.16,124.69,122.86,124.915,92593489.0
AAPL,2021-05-20,125.23,127.31,125.1,127.72,76852123.0
AAPL,2021-05-21,127.82,125.43,125.21,128,79295436.0
AAPL,2021-05-24,126.01,127.1,125.94,127.94,63067944.0
AAPL,2021-05-25,127.82,126.9,126.32,128.32,72009482.0
AAPL,2021-05-26,126.955,126.85,126.42,127.39,56443920.0
AAPL,2021-05-27,126.44,125.28,125.08,127.64,94625601.0
AAPL,2021-05-28,125.57,124.61,124.55,125.8,71238509.0
AAPL,2021-06-01,125.08,124.28,123.94,125.35,65562118.0
AAPL,2021-06-02,124.28,125.06,124.05,125.24,58674262.0
